hijo_fecha_nacimiento,hijo_genero,madre_nacionalidad,padre_nacionalidad,madre_tipo_documento,padre_tipo_documento
2019-01-01,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-01,Masculino,,Argentina,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Perú,Argentina,DNI,DNI
2019-01-01,Masculino,Bolivia,,DNI,
2019-01-01,Masculino,Argentina,,DNI,
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,,,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,,Desconocida,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,,Argentina,DNI,DNI
2019-01-01,Femenino,,,DNI,DNI
2019-01-01,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Desconocida,,DNI,
2019-01-01,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-01,Femenino,Argentina,,DNI,
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Bolivia,Argentina,C.BOL,DNI
2019-01-01,Femenino,China,China,PAS,PAS
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Perú,Bolivia,DNI,DNI
2019-01-01,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-01,Femenino,Bolivia,Paraguay,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Desconocida,Paraguay,DNI,DNI
2019-01-01,Femenino,Argentina,,DNI,
2019-01-01,Masculino,Desconocida,,DNI,DNI
2019-01-01,Masculino,Bolivia,Bolivia,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,,,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Bolivia,Bolivia,DNI,DNI
2019-01-01,Masculino,,,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Desconocida,DNI,DNI
2019-01-01,Masculino,,,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Colombia,,DNI,PAS
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,,Argentina,DNI,DNI
2019-01-01,Femenino,,,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Bolivia,Bolivia,DNI,DNI
2019-01-01,Masculino,,,DNI,DNI
2019-01-01,Masculino,,,DNI,DNI
2019-01-01,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,,DNI,
2019-01-01,Masculino,,,DNI,DNI
2019-01-01,Femenino,Desconocida,,DNI,
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,,,DNI,DNI
2019-01-01,Masculino,Desconocida,Paraguay,DNI,
2019-01-01,Masculino,,,DNI,DNI
2019-01-01,Masculino,,,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,,,DNI,DNI
2019-01-01,Femenino,Argentina,,DNI,DNI
2019-01-01,Femenino,Desconocida,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,,DNI,
2019-01-01,Femenino,Perú,,,
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Argentina,Desconocida,DNI,DNI
2019-01-01,Masculino,,,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Bolivia,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,,,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,,,DNI,DNI
2019-01-01,Femenino,Argentina,,DNI,DNI
2019-01-01,Masculino,,,DNI,DNI
2019-01-01,Masculino,Argentina,Argentina,DNI,DNI
2019-01-01,Femenino,Argentina,Argentina,DNI,DNI
2019-01-01,Masculino,Argentina,Desconocida,DNI,DNI
2019-01-02,Masculino,,Desconocida,DNI,DNI
2019-01-02,Masculino,Argentina,Desconocida,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Desconocida,DNI,DNI
2019-01-02,Femenino,Argentina,,DNI,DNI
2019-01-02,Femenino,,,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,,DNI,
2019-01-02,Femenino,Bolivia,Bolivia,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Femenino,Argentina,,DNI,
2019-01-02,Femenino,Argentina,,DNI,
2019-01-02,Femenino,Argentina,,DNI,DNI
2019-01-02,Masculino,Brasil,Argentina,DNI,DNI
2019-01-02,Femenino,,Argentina,DNI,DNI
2019-01-02,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Femenino,,,DNI,DNI
2019-01-02,Masculino,Bolivia,,DNI,
2019-01-02,Masculino,Paraguay,Argentina,DNI,DNI
2019-01-02,Masculino,Bolivia,,C.BOL,DNI
2019-01-02,Masculino,,,C.PAR,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,,DNI,
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,,DNI,
2019-01-02,Masculino,Paraguay,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Paraguay,Argentina,DNI,DNI
2019-01-02,Masculino,,Argentina,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Perú,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Masculino,Paraguay,Paraguay,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Desconocida,,DNI,DNI
2019-01-02,Femenino,Perú,Perú,DNI,DNI
2019-01-02,Femenino,Desconocida,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,,DNI,
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Femenino,Venezuela,,PAS,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Perú,Perú,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,,,DNI,
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Femenino,Argentina,,DNI,
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Femenino,,,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Masculino,Argentina,Desconocida,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Perú,Perú,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
